model,category_id,question_index,num_iterations,GPT1_mean,GPT2_mean,GPT3_mean,GPT4_mean,GPT5_mean,GPT_overall_score_mean,GPT_overall_score_wo_Q4&5_mean,GPT1_std,GPT2_std,GPT3_std,GPT4_std,GPT5_std,GPT_overall_score_std,GPT_overall_score_wo_Q4&5_std,nlp_model,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,synonyms_precision_mean,synonyms_precision_std,synonyms_recall_mean,synonyms_recall_std,synonyms_f1_mean,synonyms_f1_std,synonyms_lemmatized_precision_mean,synonyms_lemmatized_precision_std,synonyms_lemmatized_recall_mean,synonyms_lemmatized_recall_std,synonyms_lemmatized_f1_mean,synonyms_lemmatized_f1_std
rephrased_true_answers,1,0,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.2229548229548229,0.0202141168122831,0.2307692307692307,0.0256410256410256,0.2267381521952548,0.022463887180919,0.2229548229548229,0.0202141168122831,0.2307692307692307,0.0256410256410256,0.2267381521952548,0.022463887180919,0.3142857142857143,0.0171692917879237,0.3725490196078431,0.016980890270283,0.340864657014621,0.0159562423759809
rephrased_true_answers,1,1,3,5.0,5.0,4.333333333333333,5.0,5.0,4.866666666666666,4.777777777777778,0.0,0.0,0.5773502691896258,0.0,0.0,0.1154700538379253,0.1924500897298752,en_core_sci_lg,0.6666666666666666,0.0,0.8000000000000002,0.0,0.7272727272727272,0.0,0.6666666666666666,0.0,0.8000000000000002,0.0,0.7272727272727272,0.0,0.6666666666666666,0.0,0.8000000000000002,0.0,0.7272727272727272,0.0
rephrased_true_answers,1,2,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.4615384615384615,0.0,0.5454545454545454,0.0,0.4999999999999998,0.0,0.4615384615384615,0.0,0.5454545454545454,0.0,0.4999999999999998,0.0,0.4615384615384615,0.0,0.5454545454545454,0.0,0.4999999999999998,0.0
rephrased_true_answers,1,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.4210758377425044,0.047404228367207,0.4166666666666667,0.054554472558998,0.4188311688311688,0.0510267326152652,0.4572310405643738,0.0466976805284843,0.4523809523809524,0.0545544725589981,0.4547619047619047,0.0506757063185542,0.4933862433862434,0.0459929593934224,0.4880952380952381,0.054554472558998,0.4906926406926407,0.0503250244367167
rephrased_true_answers,1,4,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.3311204286047053,0.0179539391886361,0.4308943089430894,0.0281634277653476,0.374468085106383,0.0221112869051346,0.3311204286047053,0.0179539391886361,0.4308943089430894,0.0281634277653476,0.374468085106383,0.0221112869051346,0.3311204286047053,0.0179539391886361,0.4416666666666666,0.0288675134594812,0.3784793716159536,0.0223226253701777
rephrased_true_answers,1,5,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.3333333333333333,0.0,0.4285714285714285,0.0,0.375,0.0,0.3333333333333333,0.0,0.4285714285714285,0.0,0.375,0.0,0.3333333333333333,0.0,0.5,0.0,0.4000000000000001,0.0
rephrased_true_answers,1,6,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.1875,0.0,0.3333333333333333,0.0,0.24,0.0,0.1875,0.0,0.3333333333333333,0.0,0.24,0.0,0.1875,0.0,0.3333333333333333,0.0,0.24,0.0
rephrased_true_answers,1,7,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rephrased_true_answers,1,8,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.6547619047619048,0.0515491311776452,0.7142857142857143,0.0,0.6825396825396824,0.0274928699614107,0.6547619047619048,0.0515491311776452,0.7142857142857143,0.0,0.6825396825396824,0.0274928699614107,0.6547619047619048,0.0515491311776452,0.7142857142857143,0.0,0.6825396825396824,0.0274928699614107
rephrased_true_answers,1,9,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.4072199730094467,0.0112758265634739,0.5287356321839081,0.019908629972056,0.4599626302874766,0.0114948199776604,0.4072199730094467,0.0112758265634739,0.5287356321839081,0.019908629972056,0.4599626302874766,0.0114948199776604,0.4912280701754385,0.0151934281365691,0.632183908045977,0.019908629972056,0.5527745885954841,0.0149541951392833
