model,subfolder,category_id,question_index,num_iterations,GPT1_mean,GPT2_mean,GPT3_mean,GPT4_mean,GPT5_mean,GPT_overall_score_mean,GPT_overall_score_wo_Q4&5_mean,GPT1_std,GPT2_std,GPT3_std,GPT4_std,GPT5_std,GPT_overall_score_std,GPT_overall_score_wo_Q4&5_std,nlp_model,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,synonyms_precision_dict_mean,synonyms_precision_dict_std,synonyms_recall_dict_mean,synonyms_recall_dict_std,synonyms_f1_dict_mean,synonyms_f1_dict_std,synonyms_precision_snomed_mean,synonyms_precision_snomed_std,synonyms_recall_snomed_mean,synonyms_recall_snomed_std,synonyms_f1_snomed_mean,synonyms_f1_snomed_std,synonyms_precision_wn_mean,synonyms_precision_wn_std,synonyms_recall_wn_mean,synonyms_recall_wn_std,synonyms_f1_wn_mean,synonyms_f1_wn_std,synonyms_lemmatized_precision_dict_mean,synonyms_lemmatized_precision_dict_std,synonyms_lemmatized_recall_dict_mean,synonyms_lemmatized_recall_dict_std,synonyms_lemmatized_f1_dict_mean,synonyms_lemmatized_f1_dict_std,synonyms_lemmatized_precision_snomed_mean,synonyms_lemmatized_precision_snomed_std,synonyms_lemmatized_recall_snomed_mean,synonyms_lemmatized_recall_snomed_std,synonyms_lemmatized_f1_snomed_mean,synonyms_lemmatized_f1_snomed_std,synonyms_lemmatized_precision_wn_mean,synonyms_lemmatized_precision_wn_std,synonyms_lemmatized_recall_wn_mean,synonyms_lemmatized_recall_wn_std,synonyms_lemmatized_f1_wn_mean,synonyms_lemmatized_f1_wn_std
Claude,Claude,1,0,5,4.0,3.4,3.6,5.0,5.0,4.2,3.6666666666666665,0.0,0.5477225575051661,0.5477225575051661,0.0,0.0,0.2000000000000003,0.3333333333333334,en_core_sci_lg,0.19855168951943145,0.05008626246949967,0.1641025641025641,0.03888654073872589,0.1794602448149359,0.04333766549605279,0.21707537449472936,0.057687088629402805,0.17948717948717946,0.04441155916843275,0.1962347898732338,0.04962889546938898,0.21686032073128847,0.04023796767410329,0.17948717948717946,0.03140371465106639,0.19615197413824417,0.034493232575097316,0.2550030382288447,0.06147667895743099,0.21025641025641026,0.04586806107691875,0.2302030438414878,0.05224325163990334,0.252083621441241,0.04802632990145556,0.23529411764705882,0.04650408323777029,0.24300554297033172,0.04630827747983544,0.2652019010111335,0.048765123794894775,0.24705882352941178,0.044605149670891485,0.2554093891241779,0.045689150081477836,0.2600263806631994,0.062326478780406064,0.24117647058823527,0.052613364176465637,0.24987479265648282,0.05668368181386483
Claude,Claude,1,1,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.10962347921351553,0.008837478639497482,0.45999999999999996,0.054772255750516585,0.1768221996516518,0.014182027987223936,0.10962347921351553,0.008837478639497482,0.45999999999999996,0.054772255750516585,0.1768221996516518,0.014182027987223936,0.10962347921351553,0.008837478639497482,0.45999999999999996,0.054772255750516585,0.1768221996516518,0.014182027987223936,0.10962347921351553,0.008837478639497482,0.45999999999999996,0.054772255750516585,0.1768221996516518,0.014182027987223936,0.10962347921351553,0.008837478639497482,0.45999999999999996,0.054772255750516585,0.1768221996516518,0.014182027987223936,0.10962347921351553,0.008837478639497482,0.45999999999999996,0.054772255750516585,0.1768221996516518,0.014182027987223936,0.10962347921351553,0.008837478639497482,0.45999999999999996,0.054772255750516585,0.1768221996516518,0.014182027987223936
Claude,Claude,1,2,5,4.4,4.4,5.0,5.0,5.0,4.76,4.6,0.5477225575051661,0.5477225575051661,0.0,0.0,0.0,0.2190890230020667,0.3651483716701108,en_core_sci_lg,0.06630483678538598,0.031472350154290785,0.2363636363636364,0.1036523113726489,0.10342171538268163,0.04805297099865179,0.09656359404643158,0.014154191230506813,0.34545454545454546,0.040655781409087106,0.15076578985457564,0.020461534977921712,0.06630483678538598,0.031472350154290785,0.2363636363636364,0.1036523113726489,0.10342171538268163,0.04805297099865179,0.12270629192825991,0.044083056422744515,0.43636363636363634,0.13483997249264842,0.1913152486078418,0.06624683155300966,0.10250562303193882,0.023298237953369366,0.36363636363636365,0.0642824346533225,0.15977768128528008,0.03423645320531008,0.06659469185784975,0.0314665044146579,0.2363636363636364,0.1036523113726489,0.10379765523230569,0.04807832520692282,0.1231893837156995,0.043904005391775865,0.43636363636363634,0.13483997249264842,0.19194181502388188,0.06607371773740923
Claude,Claude,1,3,5,4.0,4.0,4.0,5.0,5.0,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.14645181959423445,0.02396827995705414,0.2,0.019561519910898783,0.16887740258269018,0.022548939087343536,0.17724934508216242,0.020783617201407763,0.24285714285714283,0.015971914124998505,0.2046706951700013,0.018286942158449167,0.17248744032025765,0.025909876410995254,0.2357142857142857,0.0195615199108988,0.19895640945571558,0.023757141586125605,0.14645181959423445,0.02396827995705414,0.2,0.019561519910898783,0.16887740258269018,0.022548939087343536,0.15121372435613922,0.019016220607922508,0.20714285714285713,0.01597191412499849,0.17459168829697588,0.01732056477162135,0.14645181959423445,0.02396827995705414,0.2,0.019561519910898783,0.16887740258269018,0.022548939087343536,0.14645181959423445,0.02396827995705414,0.2,0.019561519910898783,0.16887740258269018,0.022548939087343536
Claude,Claude,1,4,5,4.0,4.0,4.0,5.0,5.0,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.2728237507769065,0.033931500401774034,0.32682926829268294,0.03698963631244658,0.29734434647478125,0.03529958267252148,0.30524873779298956,0.040229679274779974,0.36585365853658536,0.045629968131389524,0.332758835367531,0.042599205039494485,0.2728237507769065,0.033931500401774034,0.32682926829268294,0.03698963631244658,0.29734434647478125,0.03529958267252148,0.33368414599882507,0.026623301809210704,0.4,0.027809156709735078,0.3637810498680064,0.02691313393381478,0.3218410087439231,0.041600456744675544,0.395,0.0447213595499958,0.3546261754088178,0.043112567191503456,0.2767453194043575,0.025847028573177316,0.33999999999999997,0.028504385627478455,0.3050766685636891,0.02692191035235451,0.34193946514776125,0.031171479343957375,0.42000000000000004,0.03259601202601325,0.37690397423834077,0.031701902320062036
Claude,Claude,1,5,5,3.0,3.0,4.0,5.0,5.0,4.0,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.13557625948930296,0.02997906888134282,0.4,0.11952286093343936,0.20226455026455029,0.048490532164934916,0.13557625948930296,0.02997906888134282,0.4,0.11952286093343936,0.20226455026455029,0.048490532164934916,0.13557625948930296,0.02997906888134282,0.4,0.11952286093343936,0.20226455026455029,0.048490532164934916,0.13557625948930296,0.02997906888134282,0.4,0.11952286093343936,0.20226455026455029,0.048490532164934916,0.13805746249682177,0.029036370980559424,0.4666666666666666,0.13944333775567927,0.2128134394341291,0.04883322279053444,0.13805746249682177,0.029036370980559424,0.4666666666666666,0.13944333775567927,0.2128134394341291,0.04883322279053444,0.13805746249682177,0.029036370980559424,0.4666666666666666,0.13944333775567927,0.2128134394341291,0.04883322279053444
Claude,Claude,1,6,5,4.4,4.4,5.0,5.0,5.0,4.76,4.6,0.547722557505166,0.547722557505166,0.0,0.0,0.0,0.2190890230020666,0.3651483716701107,en_core_sci_lg,0.08999866311079126,0.02133214805536316,0.4222222222222222,0.12171612389003693,0.1482099393271788,0.03630945382969187,0.11400495148778902,0.020714164254687813,0.5333333333333333,0.12171612389003693,0.1876435342904196,0.03525332739383617,0.08999866311079126,0.02133214805536316,0.4222222222222222,0.12171612389003693,0.1482099393271788,0.03630945382969187,0.1284002558830934,0.031534082737101725,0.6,0.1685083432011456,0.21129376368306083,0.05280672600704533,0.1576552712479486,0.024954440649362978,0.7333333333333333,0.14907119849998596,0.25915950620888395,0.04210894177217632,0.1146055520883896,0.02054327352173176,0.5333333333333333,0.12171612389003693,0.18841648115032297,0.03491778883581686,0.12915100663384416,0.031778248011113765,0.6,0.1685083432011456,0.21225994725794006,0.052990057786141596
Claude,Claude,1,7,5,4.0,4.0,4.0,5.0,5.0,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.19229249011857708,0.03250071954229031,0.8,0.0,0.308994708994709,0.04057204129667897,0.19229249011857708,0.03250071954229031,0.8,0.0,0.308994708994709,0.04057204129667897,0.19229249011857708,0.03250071954229031,0.8,0.0,0.308994708994709,0.04057204129667897,0.19229249011857708,0.03250071954229031,0.8,0.0,0.308994708994709,0.04057204129667897,0.19229249011857708,0.03250071954229031,0.8,0.0,0.308994708994709,0.04057204129667897,0.19229249011857708,0.03250071954229031,0.8,0.0,0.308994708994709,0.04057204129667897,0.19229249011857708,0.03250071954229031,0.8,0.0,0.308994708994709,0.04057204129667897
Claude,Claude,1,8,5,4.6,4.6,5.0,5.0,5.0,4.84,4.7333333333333325,0.5477225575051662,0.5477225575051662,0.0,0.0,0.0,0.2190890230020666,0.365148371670111,en_core_sci_lg,0.28435208269990875,0.0272577561762557,1.0,0.0,0.44223354231974926,0.03304927530097332,0.28435208269990875,0.0272577561762557,1.0,0.0,0.44223354231974926,0.03304927530097332,0.28435208269990875,0.0272577561762557,1.0,0.0,0.44223354231974926,0.03304927530097332,0.28435208269990875,0.0272577561762557,1.0,0.0,0.44223354231974926,0.03304927530097332,0.28435208269990875,0.0272577561762557,1.0,0.0,0.44223354231974926,0.03304927530097332,0.28435208269990875,0.0272577561762557,1.0,0.0,0.44223354231974926,0.03304927530097332,0.28435208269990875,0.0272577561762557,1.0,0.0,0.44223354231974926,0.03304927530097332
Claude,Claude,1,9,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.217484610123119,0.037665185355480454,0.26206896551724135,0.03084231693103158,0.2371714806141036,0.034446848144776214,0.217484610123119,0.037665185355480454,0.26206896551724135,0.03084231693103158,0.2371714806141036,0.034446848144776214,0.217484610123119,0.037665185355480454,0.26206896551724135,0.03084231693103158,0.2371714806141036,0.034446848144776214,0.34991450068399454,0.024857490683754962,0.4275862068965517,0.06264104180891364,0.38382773874577153,0.03556628783274785,0.23997766654230404,0.03297972568119921,0.2896551724137931,0.0393163939689358,0.261800256855783,0.032997581669339776,0.2474588566927828,0.039616232433979895,0.29655172413793107,0.030842316931031594,0.26915128469861416,0.035285820477704274,0.3413306284458815,0.046435751101508244,0.4137931034482759,0.06896551724137932,0.3730460913432886,0.05151344208579411
