comparison_model,t_statistic,p_value,p_bonf
Gemini 2.5 Pro,-0.805216549836829,0.4658336046292265,1.0
Gemma 3 27B,12.74123853524731,0.00021861353045052667,0.0021861353045052666
Llama 3.1-8B-Instruct,15.155122004620743,0.00011051255171210915,0.0011051255171210914
Llama 3.2-1B-Instruct,39.77724772031808,2.386627603363894e-06,2.3866276033638938e-05
Llama 3.3-70B-Instruct,5.6995218310566065,0.004683166915407565,0.04683166915407565
Med42-70B,17.88792135192554,5.740068471475867e-05,0.0005740068471475867
MedGemma 27B,2.294302616921805,0.08346068798151593,0.8346068798151594
Meditron 3-70B,25.76064676851588,1.3488815328550927e-05,0.00013488815328550929
NVLM-70B,50.57451804089428,9.147304380185029e-07,9.147304380185028e-06
Rephrased Gold Answers,-11.669584038516438,0.0003082921217491088,0.003082921217491088
