model,iteration_number,Supervised,Unsupervised
Claude 3.5 Sonnet,1,3.416666666666667,4.75
Claude 3.5 Sonnet,2,3.5,4.75
Claude 3.5 Sonnet,3,3.666666666666667,4.75
Claude 3.5 Sonnet,4,3.75,4.666666666666666
Claude 3.5 Sonnet,5,3.666666666666667,4.75
Gemini 2.5 Pro,1,3.916666666666667,4.583333333333334
Gemini 2.5 Pro,2,3.916666666666667,4.583333333333334
Gemini 2.5 Pro,3,4.016666666666667,4.833333333333334
Gemini 2.5 Pro,4,4.083333333333334,4.65
Gemini 2.5 Pro,5,4.083333333333334,4.583333333333334
Gemma 3 27B,1,3.6666666666666665,4.5
Gemma 3 27B,2,3.45,4.383333333333333
Gemma 3 27B,3,3.666666666666667,4.333333333333333
Gemma 3 27B,4,3.5,4.375
Gemma 3 27B,5,3.5,4.333333333333334
Llama 3.1-8B-Instruct,1,3.0,3.8333333333333335
Llama 3.1-8B-Instruct,2,2.966666666666667,3.6333333333333333
Llama 3.1-8B-Instruct,3,2.666666666666667,3.75
Llama 3.1-8B-Instruct,4,3.0,3.5833333333333335
Llama 3.1-8B-Instruct,5,3.166666666666667,3.75
Llama 3.2-1B-Instruct,1,1.6666666666666665,2.0833333333333335
Llama 3.2-1B-Instruct,2,2.0833333333333335,2.416666666666667
Llama 3.2-1B-Instruct,3,1.75,2.083333333333333
Llama 3.2-1B-Instruct,4,2.0,2.4333333333333336
Llama 3.2-1B-Instruct,5,1.75,2.083333333333333
Llama 3.3-70B-Instruct,1,3.4166666666666665,4.583333333333334
Llama 3.3-70B-Instruct,2,3.333333333333333,4.583333333333334
Llama 3.3-70B-Instruct,3,3.25,4.5
Llama 3.3-70B-Instruct,4,3.5,4.416666666666667
Llama 3.3-70B-Instruct,5,3.333333333333333,4.333333333333334
Med42-70B,1,2.7666666666666666,4.508333333333333
Med42-70B,2,2.7666666666666666,4.358333333333333
Med42-70B,3,3.0,4.083333333333334
Med42-70B,4,2.95,4.358333333333333
Med42-70B,5,2.8666666666666667,4.358333333333333
MedGemma 27B,1,3.533333333333333,4.45
MedGemma 27B,2,3.45,4.55
MedGemma 27B,3,3.783333333333333,4.7
MedGemma 27B,4,3.833333333333333,4.7
MedGemma 27B,5,3.583333333333333,4.583333333333334
Meditron 3-70B,1,3.166666666666667,4.083333333333333
Meditron 3-70B,2,3.0833333333333335,4.0
Meditron 3-70B,3,3.166666666666667,4.5
Meditron 3-70B,4,3.25,4.25
Meditron 3-70B,5,3.166666666666667,4.25
NVLM-70B,1,2.916666666666667,4.083333333333333
NVLM-70B,2,2.916666666666667,4.083333333333333
NVLM-70B,3,2.916666666666667,4.0
NVLM-70B,4,2.916666666666667,3.916666666666667
NVLM-70B,5,3.0,4.0
