model,avg_MedGPT,sd_MedGPT,avg_unsupGPT,sd_unsupGPT,GPT
Claude 3.5 Sonnet,3.8,0.1394433377556796,4.7333333333333325,0.03726779962499671,GPT1
Gemini 2.5 Pro,3.996666666666667,0.059395098937351336,4.663333333333334,0.10233387622005843,GPT1
Gemma 3 27B,3.6233333333333335,0.12780193008453872,4.418333333333333,0.06465721580423589,GPT1
Llama 3.1-8B-Instruct,3.2,0.17280367794439758,4.033333333333333,0.0745355992499932,GPT1
Llama 3.2-1B-Instruct,2.07,0.18310591955963035,2.6233333333333335,0.17973746286057216,GPT1
Llama 3.3-70B-Instruct,3.6333333333333337,0.07453559924999292,4.5,0.08333333333333372,GPT1
Med42-70B,3.046666666666667,0.12438738771363529,4.3933333333333335,0.17464249196572962,GPT1
MedGemma 27B,3.703333333333333,0.21775368347439406,4.596666666666667,0.1063275860515774,GPT1
Meditron 3-70B,3.4166666666666665,0.10206207261596582,4.316666666666666,0.13693063937629177,GPT1
NVLM-70B,3.3166666666666664,0.06972166887783975,4.216666666666667,0.04564354645876423,GPT1
