category_id,model,mean_sentences,sd_sentences
1,Claude 3.5 Sonnet,5.527272727272727,2.234863037103794
1,Gemini 2.5 Pro,9.127272727272727,5.011300361496136
1,Gemma 3 27B,8.745454545454546,4.037867890901967
1,Llama 3.1-8B-Instruct,12.236363636363636,5.607414523922556
1,Llama 3.2-1B-Instruct,12.145454545454545,7.219875298549091
1,Llama 3.3-70B-Instruct,8.581818181818182,4.991440484917967
1,Med42-70B,28.90909090909091,21.898141919546948
1,MedGemma 27B,11.690909090909091,6.145979496635502
1,Meditron 3-70B,4.290909090909091,3.0892449471406995
1,NVLM-70B,15.454545454545455,8.303988737722912
1,Rephrased Gold Answers,3.7818181818181817,3.041021448101188
2,Claude 3.5 Sonnet,4.98,2.486617241579903
2,Gemini 2.5 Pro,5.72,4.720947673801894
2,Gemma 3 27B,5.8,4.0456577881446565
2,Llama 3.1-8B-Instruct,4.62,3.1094982861929243
2,Llama 3.2-1B-Instruct,6.4,4.070801956792859
2,Llama 3.3-70B-Instruct,4.22,1.9303166706474852
2,Med42-70B,19.0,11.91852684064948
2,MedGemma 27B,16.34,14.776719140980807
2,Meditron 3-70B,3.26,1.3674048114466129
2,NVLM-70B,6.9,5.485602677436079
2,Rephrased Gold Answers,1.2,0.6060915267313264
3,Claude 3.5 Sonnet,7.180952380952381,2.911452691794387
3,Gemini 2.5 Pro,4.695238095238095,3.9005024565970228
3,Gemma 3 27B,4.885714285714286,2.3134817488361135
3,Llama 3.1-8B-Instruct,6.9523809523809526,4.204807121664788
3,Llama 3.2-1B-Instruct,7.9523809523809526,5.046668650591642
3,Llama 3.3-70B-Instruct,5.8,4.195693763115481
3,Med42-70B,19.95,17.37138887697675
3,MedGemma 27B,26.733333333333334,17.414222009757662
3,Meditron 3-70B,4.3619047619047615,2.414395168422938
3,NVLM-70B,13.238095238095237,8.564824989818947
3,Rephrased Gold Answers,1.1428571428571428,0.35160542320387156
