model,avg_MedGPT,sd_MedGPT,avg_unsupGPT,sd_unsupGPT,GPT
Claude 3.5 Sonnet,4.156666666666666,0.10448285345771689,4.925,0.04564354645876393,GPT3
Gemini 2.5 Pro,4.33,0.10301024760241664,4.9,0.0697216688778396,GPT3
Gemma 3 27B,4.0633333333333335,0.16218987500937124,4.68,0.11571036638473187,GPT3
Llama 3.1-8B-Instruct,3.5533333333333332,0.16972199490801293,4.220000000000001,0.0930949336251263,GPT3
Llama 3.2-1B-Instruct,2.336666666666667,0.1990951754535727,2.5733333333333333,0.1895169297626644,GPT3
Llama 3.3-70B-Instruct,4.083333333333334,0.13176156917368245,4.75,0.05892556509887859,GPT3
Med42-70B,3.5666666666666673,0.06972166887783976,4.6433333333333335,0.1734454765433022,GPT3
MedGemma 27B,4.128333333333333,0.07763876465901409,4.831666666666666,0.09902300518341928,GPT3
Meditron 3-70B,3.9,0.16029486718059466,4.583333333333333,0.14433756729740632,GPT3
NVLM-70B,3.666666666666667,0.05892556509887904,4.416666666666667,0.0,GPT3
