model,category_id,iteration_number,Supervised,Unsupervised
Claude 3.5 Sonnet,2,1,4.0,5.0
Claude 3.5 Sonnet,2,2,4.0,4.75
Claude 3.5 Sonnet,2,3,4.0,4.833333333333333
Claude 3.5 Sonnet,2,4,4.166666666666667,4.833333333333333
Claude 3.5 Sonnet,2,5,4.166666666666667,4.666666666666667
Claude 3.5 Sonnet,3,1,3.5,4.5
Claude 3.5 Sonnet,3,2,3.1666666666666665,4.75
Claude 3.5 Sonnet,3,3,3.6666666666666665,4.666666666666667
Claude 3.5 Sonnet,3,4,3.6666666666666665,4.5
Claude 3.5 Sonnet,3,5,3.6666666666666665,4.833333333333333
Gemini 2.5 Pro,2,1,4.0,4.666666666666667
Gemini 2.5 Pro,2,2,3.8333333333333335,4.5
Gemini 2.5 Pro,2,3,4.0,5.0
Gemini 2.5 Pro,2,4,3.8,4.8
Gemini 2.5 Pro,2,5,4.0,4.666666666666667
Gemini 2.5 Pro,3,1,3.8333333333333335,4.666666666666667
Gemini 2.5 Pro,3,2,4.333333333333333,4.666666666666667
Gemini 2.5 Pro,3,3,4.0,4.666666666666667
Gemini 2.5 Pro,3,4,4.166666666666667,4.5
Gemini 2.5 Pro,3,5,4.0,4.5
Gemma 3 27B,2,1,3.8333333333333335,4.5
Gemma 3 27B,2,2,3.4,4.6
Gemma 3 27B,2,3,3.6666666666666665,4.5
Gemma 3 27B,2,4,3.6666666666666665,4.583333333333333
Gemma 3 27B,2,5,3.3333333333333335,4.5
Gemma 3 27B,3,1,3.6666666666666665,4.5
Gemma 3 27B,3,2,3.5,4.166666666666667
Gemma 3 27B,3,3,3.8333333333333335,4.333333333333333
Gemma 3 27B,3,4,3.5,4.333333333333333
Gemma 3 27B,3,5,3.8333333333333335,4.166666666666667
Llama 3.1-8B-Instruct,2,1,3.3333333333333335,4.166666666666667
Llama 3.1-8B-Instruct,2,2,3.6666666666666665,4.0
Llama 3.1-8B-Instruct,2,3,2.6666666666666665,4.166666666666667
Llama 3.1-8B-Instruct,2,4,3.3333333333333335,4.166666666666667
Llama 3.1-8B-Instruct,2,5,3.5,4.166666666666667
Llama 3.1-8B-Instruct,3,1,3.3333333333333335,4.0
Llama 3.1-8B-Instruct,3,2,3.0,4.0
Llama 3.1-8B-Instruct,3,3,3.1666666666666665,4.0
Llama 3.1-8B-Instruct,3,4,3.0,3.6666666666666665
Llama 3.1-8B-Instruct,3,5,3.0,4.0
Llama 3.2-1B-Instruct,2,1,1.5,2.0
Llama 3.2-1B-Instruct,2,2,1.8333333333333333,2.3333333333333335
Llama 3.2-1B-Instruct,2,3,2.0,2.3333333333333335
Llama 3.2-1B-Instruct,2,4,2.2,2.4
Llama 3.2-1B-Instruct,2,5,2.0,2.3333333333333335
Llama 3.2-1B-Instruct,3,1,2.1666666666666665,2.8333333333333335
Llama 3.2-1B-Instruct,3,2,2.6666666666666665,3.3333333333333335
Llama 3.2-1B-Instruct,3,3,1.8333333333333333,2.6666666666666665
Llama 3.2-1B-Instruct,3,4,2.1666666666666665,3.1666666666666665
Llama 3.2-1B-Instruct,3,5,2.3333333333333335,2.8333333333333335
Llama 3.3-70B-Instruct,2,1,3.8333333333333335,4.666666666666667
Llama 3.3-70B-Instruct,2,2,3.6666666666666665,4.666666666666667
Llama 3.3-70B-Instruct,2,3,3.5,4.666666666666667
Llama 3.3-70B-Instruct,2,4,3.8333333333333335,4.666666666666667
Llama 3.3-70B-Instruct,2,5,3.8333333333333335,4.666666666666667
Llama 3.3-70B-Instruct,3,1,3.3333333333333335,4.5
Llama 3.3-70B-Instruct,3,2,3.6666666666666665,4.5
Llama 3.3-70B-Instruct,3,3,3.6666666666666665,4.333333333333333
Llama 3.3-70B-Instruct,3,4,3.6666666666666665,4.166666666666667
Llama 3.3-70B-Instruct,3,5,3.3333333333333335,4.166666666666667
Med42-70B,2,1,2.6,4.6
Med42-70B,2,2,2.6,4.5
Med42-70B,2,3,2.8333333333333335,3.75
Med42-70B,2,4,3.0,4.5
Med42-70B,2,5,2.6,4.5
Med42-70B,3,1,3.3333333333333335,4.416666666666667
Med42-70B,3,2,3.3333333333333335,4.416666666666667
Med42-70B,3,3,3.3333333333333335,4.416666666666667
Med42-70B,3,4,3.5,4.416666666666667
Med42-70B,3,5,3.3333333333333335,4.416666666666667
MedGemma 27B,2,1,3.4,4.4
MedGemma 27B,2,2,3.5,4.5
MedGemma 27B,2,3,3.4,4.9
MedGemma 27B,2,4,4.0,4.9
MedGemma 27B,2,5,3.8333333333333335,4.666666666666667
MedGemma 27B,3,1,3.6666666666666665,4.5
MedGemma 27B,3,2,3.4,4.6
MedGemma 27B,3,3,4.166666666666667,4.5
MedGemma 27B,3,4,4.0,4.5
MedGemma 27B,3,5,3.6666666666666665,4.5
Meditron 3-70B,2,1,3.3333333333333335,4.5
Meditron 3-70B,2,2,3.5,4.0
Meditron 3-70B,2,3,3.3333333333333335,4.666666666666667
Meditron 3-70B,2,4,3.5,4.5
Meditron 3-70B,2,5,3.6666666666666665,4.666666666666667
Meditron 3-70B,3,1,3.5,4.0
Meditron 3-70B,3,2,3.0,4.333333333333333
Meditron 3-70B,3,3,3.6666666666666665,4.333333333333333
Meditron 3-70B,3,4,3.5,4.0
Meditron 3-70B,3,5,3.1666666666666665,4.166666666666667
NVLM-70B,2,1,3.6666666666666665,4.333333333333333
NVLM-70B,2,2,3.6666666666666665,4.333333333333333
NVLM-70B,2,3,3.5,4.333333333333333
NVLM-70B,2,4,3.6666666666666665,4.333333333333333
NVLM-70B,2,5,3.8333333333333335,4.333333333333333
NVLM-70B,3,1,3.0,4.166666666666667
NVLM-70B,3,2,2.8333333333333335,4.166666666666667
NVLM-70B,3,3,3.0,4.0
NVLM-70B,3,4,3.0,4.0
NVLM-70B,3,5,3.0,4.166666666666667
