category_id,iteration_number,f1_score,synonyms_f1_dict,synonyms_f1_snomed,synonyms_f1_wn,synonyms_lemmatized_f1_dict,synonyms_lemmatized_f1_snomed,synonyms_lemmatized_f1_wn
1,1,0.4158012136155271,0.47487182385635,0.4190479668622803,0.4779170024044298,0.5678062602109524,0.44182184384530426,0.4916072685867407
1,2,0.4186522656120164,0.4768770243681262,0.4218990188587695,0.4835895366620338,0.5643819361155512,0.44741507633685224,0.49955466591830233
1,3,0.41162727922770215,0.4711956511110845,0.41487403247445537,0.4761837489110217,0.5595857904525982,0.4377367757917442,0.4918579736761554
1,4,0.41303663600007107,0.47609653567296184,0.4163424211240381,0.4694206959872957,0.5680818401715045,0.4392833642169123,0.4827646418232861
1,5,0.43299030683098944,0.47755406987221494,0.43629609195495644,0.4946587575765158,0.5597485616547201,0.465109183437629,0.5139820827504111
2,1,0.48601953601953607,0.49713064713064725,0.5193528693528695,0.5028449328449329,0.5195115995115996,0.5193528693528695,0.5028449328449329
2,2,0.46492063492063496,0.47603174603174614,0.49825396825396834,0.4817460317460318,0.49841269841269853,0.49825396825396834,0.4817460317460318
2,3,0.4526862026862027,0.4637973137973138,0.48601953601953607,0.46951159951159954,0.4861782661782662,0.48601953601953607,0.46951159951159954
2,4,0.46935286935286946,0.48046398046398064,0.5026862026862029,0.4861782661782663,0.5028449328449329,0.5026862026862029,0.4861782661782663
2,5,0.44935286935286956,0.4604639804639806,0.48268620268620294,0.4661782661782663,0.4828449328449329,0.48268620268620294,0.4661782661782663
3,1,0.49183237397523105,0.499768881911739,0.5156418977847549,0.5235784057212628,0.5103508924937495,0.49183237397523105,0.5235784057212628
3,2,0.4780001744287458,0.5037938252223967,0.5018096982382696,0.5097462061747776,0.5143758358044073,0.4780001744287458,0.5097462061747776
3,3,0.5195345659631373,0.5440054654340368,0.5433440897726611,0.5274710738996453,0.5535292749578464,0.5195345659631373,0.5274710738996453
3,4,0.48990493633350773,0.5037938252223967,0.5137144601430316,0.5216509680795396,0.5143758358044073,0.48990493633350773,0.5216509680795396
3,5,0.48990493633350773,0.5037938252223967,0.5137144601430316,0.5216509680795396,0.5143758358044073,0.48990493633350773,0.5216509680795396
4,1,0.4986428759538003,0.5235106008215252,0.5224523997633241,0.5121816247866668,0.5330344103453347,0.4986428759538003,0.5121816247866668
4,2,0.5199313913599628,0.551148322576894,0.5437409151694866,0.5342171056456771,0.5617303331589045,0.5199313913599628,0.5342171056456771
4,3,0.48461393104250244,0.5090848305134019,0.5084234548520262,0.49255043897901035,0.5196668410954125,0.48461393104250244,0.49255043897901035
4,4,0.4848595848595849,0.5165300308157451,0.5086691086691087,0.4927960927960928,0.5271120413977557,0.4848595848595849,0.4927960927960928
4,5,0.504965404965405,0.5366358509215653,0.5287749287749287,0.5129019129019129,0.5472178615035758,0.504965404965405,0.5129019129019129
