model,iteration_number,Supervised,Unsupervised
Claude 3.5 Sonnet,1,4.116666666666667,5.0
Claude 3.5 Sonnet,2,4.083333333333333,4.875
Claude 3.5 Sonnet,3,4.333333333333334,4.916666666666666
Claude 3.5 Sonnet,4,4.083333333333333,4.916666666666666
Claude 3.5 Sonnet,5,4.166666666666666,4.916666666666666
Gemini 2.5 Pro,1,4.166666666666667,4.833333333333333
Gemini 2.5 Pro,2,4.333333333333334,4.916666666666666
Gemini 2.5 Pro,3,4.45,4.916666666666666
Gemini 2.5 Pro,4,4.366666666666667,5.0
Gemini 2.5 Pro,5,4.333333333333334,4.833333333333333
Gemma 3 27B,1,4.333333333333333,4.75
Gemma 3 27B,2,3.9833333333333334,4.483333333333333
Gemma 3 27B,3,3.916666666666667,4.75
Gemma 3 27B,4,4.0,4.75
Gemma 3 27B,5,4.083333333333333,4.666666666666666
Llama 3.1-8B-Instruct,1,3.666666666666667,4.25
Llama 3.1-8B-Instruct,2,3.4333333333333336,4.183333333333334
Llama 3.1-8B-Instruct,3,3.333333333333333,4.25
Llama 3.1-8B-Instruct,4,3.5833333333333335,4.083333333333334
Llama 3.1-8B-Instruct,5,3.75,4.333333333333334
Llama 3.2-1B-Instruct,1,2.0833333333333335,2.333333333333333
Llama 3.2-1B-Instruct,2,2.5,2.75
Llama 3.2-1B-Instruct,3,2.1666666666666665,2.5
Llama 3.2-1B-Instruct,4,2.5166666666666666,2.783333333333333
Llama 3.2-1B-Instruct,5,2.416666666666667,2.5
Llama 3.3-70B-Instruct,1,4.083333333333333,4.666666666666667
Llama 3.3-70B-Instruct,2,3.916666666666667,4.75
Llama 3.3-70B-Instruct,3,4.0,4.833333333333333
Llama 3.3-70B-Instruct,4,4.25,4.75
Llama 3.3-70B-Instruct,5,4.166666666666667,4.75
Med42-70B,1,3.5833333333333335,4.733333333333333
Med42-70B,2,3.5833333333333335,4.716666666666667
Med42-70B,3,3.666666666666667,4.333333333333334
Med42-70B,4,3.5,4.716666666666667
Med42-70B,5,3.5,4.716666666666667
MedGemma 27B,1,4.066666666666666,4.816666666666666
MedGemma 27B,2,4.225,4.675
MedGemma 27B,3,4.066666666666666,4.916666666666666
MedGemma 27B,4,4.2,4.916666666666666
MedGemma 27B,5,4.083333333333334,4.833333333333333
Meditron 3-70B,1,4.083333333333334,4.5
Meditron 3-70B,2,3.666666666666667,4.5
Meditron 3-70B,3,3.916666666666667,4.833333333333333
Meditron 3-70B,4,4.0,4.583333333333333
Meditron 3-70B,5,3.833333333333333,4.5
NVLM-70B,1,3.666666666666667,4.416666666666667
NVLM-70B,2,3.583333333333333,4.416666666666667
NVLM-70B,3,3.666666666666667,4.416666666666667
NVLM-70B,4,3.666666666666667,4.416666666666667
NVLM-70B,5,3.75,4.416666666666667
