model,GPT,MedGPT,avg_score,std
Claude 3.5 Sonnet,GPT2,Supervised,3.6,0.13693063937629146
Gemini 2.5 Pro,GPT2,Supervised,4.003333333333334,0.08366600265340772
Gemma 3 27B,GPT2,Supervised,3.556666666666667,0.10246950765959599
Llama 3.1-8B-Instruct,GPT2,Supervised,2.96,0.1816590212458495
Llama 3.2-1B-Instruct,GPT2,Supervised,1.85,0.18066236157232343
Llama 3.3-70B-Instruct,GPT2,Supervised,3.3666666666666663,0.09501461875826157
Med42-70B,GPT2,Supervised,2.87,0.10567244989431569
MedGemma 27B,GPT2,Supervised,3.6366666666666667,0.16473885057535406
Meditron 3-70B,GPT2,Supervised,3.166666666666667,0.05892556509887904
NVLM-70B,GPT2,Supervised,2.9333333333333336,0.037267799624996364
Claude 3.5 Sonnet,GPT2,Unsupervised,4.7333333333333325,0.03726779962499671
Gemini 2.5 Pro,GPT2,Unsupervised,4.6466666666666665,0.10826921179274486
Gemma 3 27B,GPT2,Unsupervised,4.385,0.06831300510639714
Llama 3.1-8B-Instruct,GPT2,Unsupervised,3.71,0.10041580220928048
Llama 3.2-1B-Instruct,GPT2,Unsupervised,2.2199999999999998,0.18723128893311516
Llama 3.3-70B-Instruct,GPT2,Unsupervised,4.483333333333333,0.10865337342004441
Med42-70B,GPT2,Unsupervised,4.333333333333334,0.15411035007422427
MedGemma 27B,GPT2,Unsupervised,4.596666666666667,0.1063275860515774
Meditron 3-70B,GPT2,Unsupervised,4.216666666666667,0.19184774055368928
NVLM-70B,GPT2,Unsupervised,4.016666666666667,0.06972166887783932
