model,GPT,MedGPT,avg_score,std
Claude 3.5 Sonnet,GPT1,Supervised,3.8,0.1394433377556796
Gemini 2.5 Pro,GPT1,Supervised,3.996666666666667,0.059395098937351336
Gemma 3 27B,GPT1,Supervised,3.6233333333333335,0.12780193008453872
Llama 3.1-8B-Instruct,GPT1,Supervised,3.2,0.17280367794439758
Llama 3.2-1B-Instruct,GPT1,Supervised,2.07,0.18310591955963035
Llama 3.3-70B-Instruct,GPT1,Supervised,3.6333333333333337,0.07453559924999292
Med42-70B,GPT1,Supervised,3.046666666666667,0.12438738771363529
MedGemma 27B,GPT1,Supervised,3.703333333333333,0.21775368347439406
Meditron 3-70B,GPT1,Supervised,3.4166666666666665,0.10206207261596582
NVLM-70B,GPT1,Supervised,3.3166666666666664,0.06972166887783975
Claude 3.5 Sonnet,GPT1,Unsupervised,4.7333333333333325,0.03726779962499671
Gemini 2.5 Pro,GPT1,Unsupervised,4.663333333333334,0.10233387622005843
Gemma 3 27B,GPT1,Unsupervised,4.418333333333333,0.06465721580423589
Llama 3.1-8B-Instruct,GPT1,Unsupervised,4.033333333333333,0.0745355992499932
Llama 3.2-1B-Instruct,GPT1,Unsupervised,2.6233333333333335,0.17973746286057216
Llama 3.3-70B-Instruct,GPT1,Unsupervised,4.5,0.08333333333333372
Med42-70B,GPT1,Unsupervised,4.3933333333333335,0.17464249196572962
MedGemma 27B,GPT1,Unsupervised,4.596666666666667,0.1063275860515774
Meditron 3-70B,GPT1,Unsupervised,4.316666666666666,0.13693063937629177
NVLM-70B,GPT1,Unsupervised,4.216666666666667,0.04564354645876423
