,nlp_model,model,subfolder,category_id,iteration_number,question_index,precision,recall,f1_score,synonyms_precision_dict,synonyms_recall_dict,synonyms_f1_dict,synonyms_precision_snomed,synonyms_recall_snomed,synonyms_f1_snomed,synonyms_precision_wn,synonyms_recall_wn,synonyms_f1_wn,synonyms_lemmatized_precision_dict,synonyms_lemmatized_recall_dict,synonyms_lemmatized_f1_dict,synonyms_lemmatized_precision_snomed,synonyms_lemmatized_recall_snomed,synonyms_lemmatized_f1_snomed,synonyms_lemmatized_precision_wn,synonyms_lemmatized_recall_wn,synonyms_lemmatized_f1_wn
0,en_core_sci_lg,Gemma-3-27B,Gemma-3-27B,1,1,0,0.14285714285714285,0.10256410256410256,0.11940298507462686,0.14285714285714285,0.10256410256410256,0.11940298507462686,0.14285714285714285,0.10256410256410256,0.11940298507462686,0.21428571428571427,0.15384615384615385,0.1791044776119403,0.21428571428571427,0.17647058823529413,0.1935483870967742,0.21428571428571427,0.17647058823529413,0.1935483870967742,0.25,0.20588235294117646,0.22580645161290322
1,en_core_sci_lg,Gemma-3-27B,Gemma-3-27B,1,1,1,0.14285714285714285,0.5,0.22222222222222224,0.14285714285714285,0.5,0.22222222222222224,0.14285714285714285,0.5,0.22222222222222224,0.14285714285714285,0.5,0.22222222222222224,0.14705882352941177,0.5,0.22727272727272727,0.14705882352941177,0.5,0.22727272727272727,0.14705882352941177,0.5,0.22727272727272727
2,en_core_sci_lg,Gemma-3-27B,Gemma-3-27B,1,1,2,0.25,0.5454545454545454,0.34285714285714286,0.25,0.5454545454545454,0.34285714285714286,0.25,0.5454545454545454,0.34285714285714286,0.3333333333333333,0.7272727272727273,0.4571428571428572,0.2916666666666667,0.6363636363636364,0.4,0.25,0.5454545454545454,0.34285714285714286,0.3333333333333333,0.7272727272727273,0.4571428571428572
3,en_core_sci_lg,Gemma-3-27B,Gemma-3-27B,1,1,3,0.1891891891891892,0.25,0.2153846153846154,0.24324324324324326,0.32142857142857145,0.27692307692307694,0.1891891891891892,0.25,0.2153846153846154,0.1891891891891892,0.25,0.2153846153846154,0.24324324324324326,0.32142857142857145,0.27692307692307694,0.1891891891891892,0.25,0.2153846153846154,0.1891891891891892,0.25,0.2153846153846154
4,en_core_sci_lg,Gemma-3-27B,Gemma-3-27B,1,1,4,0.3333333333333333,0.3170731707317073,0.32499999999999996,0.358974358974359,0.34146341463414637,0.35000000000000003,0.3333333333333333,0.3170731707317073,0.32499999999999996,0.41025641025641024,0.3902439024390244,0.4,0.4358974358974359,0.425,0.43037974683544306,0.38461538461538464,0.375,0.37974683544303806,0.41025641025641024,0.4,0.4050632911392405
5,en_core_sci_lg,Gemma-3-27B,Gemma-3-27B,1,1,5,0.3125,0.7142857142857143,0.43478260869565216,0.3125,0.7142857142857143,0.43478260869565216,0.3125,0.7142857142857143,0.43478260869565216,0.375,0.8571428571428571,0.5217391304347825,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.26666666666666666,0.6666666666666666,0.3809523809523809,0.3333333333333333,0.8333333333333334,0.47619047619047616
6,en_core_sci_lg,Gemma-3-27B,Gemma-3-27B,1,1,6,0.125,0.4444444444444444,0.1951219512195122,0.125,0.4444444444444444,0.1951219512195122,0.125,0.4444444444444444,0.1951219512195122,0.15625,0.5555555555555556,0.24390243902439024,0.15625,0.5555555555555556,0.24390243902439024,0.1875,0.6666666666666666,0.29268292682926833,0.15625,0.5555555555555556,0.24390243902439024
7,en_core_sci_lg,Gemma-3-27B,Gemma-3-27B,1,1,7,0.05555555555555555,0.2,0.08695652173913045,0.05555555555555555,0.2,0.08695652173913045,0.05555555555555555,0.2,0.08695652173913045,0.1111111111111111,0.4,0.1739130434782609,0.16666666666666666,0.6,0.2608695652173913,0.1111111111111111,0.4,0.1739130434782609,0.1111111111111111,0.4,0.1739130434782609
8,en_core_sci_lg,Gemma-3-27B,Gemma-3-27B,1,1,8,0.375,0.8571428571428571,0.5217391304347825,0.4375,1.0,0.6086956521739131,0.375,0.8571428571428571,0.5217391304347825,0.375,0.8571428571428571,0.5217391304347825,0.4375,1.0,0.6086956521739131,0.375,0.8571428571428571,0.5217391304347825,0.375,0.8571428571428571,0.5217391304347825
9,en_core_sci_lg,Gemma-3-27B,Gemma-3-27B,1,1,9,0.4666666666666667,0.2413793103448276,0.3181818181818182,0.4666666666666667,0.2413793103448276,0.3181818181818182,0.4666666666666667,0.2413793103448276,0.3181818181818182,0.5333333333333333,0.27586206896551724,0.36363636363636365,0.4666666666666667,0.2413793103448276,0.3181818181818182,0.4666666666666667,0.2413793103448276,0.3181818181818182,0.5333333333333333,0.27586206896551724,0.36363636363636365
