nlp_model,model,model_subfolder,category_id,question_index,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,synonyms_precision_mean,synonyms_precision_std,synonyms_recall_mean,synonyms_recall_std,synonyms_f1_mean,synonyms_f1_std,synonyms_lemmatized_precision_mean,synonyms_lemmatized_precision_std,synonyms_lemmatized_recall_mean,synonyms_lemmatized_recall_std,synonyms_lemmatized_f1_mean,synonyms_lemmatized_f1_std
en_core_sci_lg,Claude,Claude,1,0,0.15649693597806805,0.012206799524370187,0.20512820512820515,0.025641025641025657,0.17746529665570146,0.017424377143240095,0.17614094500886954,0.011321641980510529,0.23076923076923075,0.025641025641025637,0.19970051604234515,0.016822153752933628,0.21615643112590952,0.028894378394516144,0.3235294117647059,0.058823529411764684,0.2590620997487865,0.03966972782706584
en_core_sci_lg,Claude,Claude,1,1,0.10915083033727102,0.007486055570573833,0.6333333333333333,0.05773502691896256,0.18617614269788182,0.013113325264243135,0.10915083033727102,0.007486055570573833,0.6333333333333333,0.05773502691896256,0.18617614269788182,0.013113325264243135,0.10915083033727102,0.007486055570573833,0.6333333333333333,0.05773502691896256,0.18617614269788182,0.013113325264243135
en_core_sci_lg,Claude,Claude,1,2,0.07818156502367028,0.03859270120423771,0.42424242424242425,0.22878286167487116,0.13198316841863814,0.0660471227898407,0.07818156502367028,0.03859270120423771,0.42424242424242425,0.22878286167487116,0.13198316841863814,0.0660471227898407,0.07921985369636757,0.038640653046155916,0.42424242424242425,0.22878286167487116,0.13345936899522717,0.06617761692609078
en_core_sci_lg,Claude,Claude,1,3,0.12008847254748893,0.0403681027739883,0.2261904761904762,0.02061965247105808,0.15556653084742972,0.03850902770912902,0.14671697458582703,0.05854458794370684,0.2738095238095238,0.04123930494211612,0.18943079392517595,0.058665839430963804,0.16029143897996356,0.026245456906066587,0.30952380952380953,0.02061965247105807,0.20954027246162077,0.01663063944393012
en_core_sci_lg,Claude,Claude,1,4,0.1865717753503255,0.04230822836933706,0.2601626016260163,0.0745134259342413,0.21717404046092845,0.05469559947724893,0.1865717753503255,0.04230822836933706,0.2601626016260163,0.0745134259342413,0.21717404046092845,0.05469559947724893,0.19651329581816177,0.047433981355402506,0.27499999999999997,0.07499999999999997,0.22916897609282047,0.05834434778114464
en_core_sci_lg,Claude,Claude,1,5,0.10485312899106003,0.00568721432393673,0.42857142857142855,0.0,0.16843313902137433,0.007315947143571406,0.10485312899106003,0.00568721432393673,0.42857142857142855,0.0,0.16843313902137433,0.007315947143571406,0.11749680715197956,0.018106573280661335,0.5555555555555555,0.0962250448649376,0.19393939393939394,0.030438780660167884
en_core_sci_lg,Claude,Claude,1,6,0.06825396825396825,0.002749286996141075,0.4444444444444444,0.0,0.11832032701597921,0.004119333024318403,0.06825396825396825,0.002749286996141075,0.4444444444444444,0.0,0.11832032701597921,0.004119333024318403,0.0853174603174603,0.0034366087451763454,0.5555555555555556,0.0,0.14790040876997398,0.005149166280398014
en_core_sci_lg,Claude,Claude,1,7,0.08992248062015505,0.017454775580151485,0.6,0.2,0.1542592592592593,0.026853128960689567,0.08992248062015505,0.017454775580151485,0.6,0.2,0.1542592592592593,0.026853128960689567,0.11519578612601868,0.030516502367028114,0.7333333333333334,0.11547005383792519,0.19616161616161618,0.03871362842743823
en_core_sci_lg,Claude,Claude,1,8,0.2122511883541295,0.006434808122504906,1.0,0.0,0.35014592453616844,0.008756384150960828,0.2122511883541295,0.006434808122504906,1.0,0.0,0.35014592453616844,0.008756384150960828,0.2122511883541295,0.006434808122504906,1.0,0.0,0.35014592453616844,0.008756384150960828
en_core_sci_lg,Claude,Claude,1,9,0.1915126103805349,0.029395521340714832,0.35632183908045983,0.05267328385006713,0.24911492660537624,0.03770664257477434,0.1915126103805349,0.029395521340714832,0.35632183908045983,0.05267328385006713,0.24911492660537624,0.03770664257477434,0.21673923560716013,0.030989430100443555,0.39080459770114945,0.052673283850067115,0.27883167720566093,0.039047431683101
