nlp_model,model,category_id,question_index,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,synonyms_precision_mean,synonyms_precision_std,synonyms_recall_mean,synonyms_recall_std,synonyms_f1_mean,synonyms_f1_std,synonyms_lemmatized_precision_mean,synonyms_lemmatized_precision_std,synonyms_lemmatized_recall_mean,synonyms_lemmatized_recall_std,synonyms_lemmatized_f1_mean,synonyms_lemmatized_f1_std
en_core_sci_lg,rephrased_true_answers,1,0,0.22295482295482297,0.02021411681228314,0.23076923076923075,0.025641025641025633,0.22673815219525487,0.022463887180919042,0.22295482295482297,0.02021411681228314,0.23076923076923075,0.025641025641025633,0.22673815219525487,0.022463887180919042,0.3142857142857143,0.01716929178792374,0.37254901960784315,0.016980890270283062,0.340864657014621,0.015956242375980985
en_core_sci_lg,rephrased_true_answers,1,1,0.6666666666666666,0.0,0.8000000000000002,0.0,0.7272727272727272,0.0,0.6666666666666666,0.0,0.8000000000000002,0.0,0.7272727272727272,0.0,0.6666666666666666,0.0,0.8000000000000002,0.0,0.7272727272727272,0.0
en_core_sci_lg,rephrased_true_answers,1,2,0.4615384615384615,0.0,0.5454545454545454,0.0,0.49999999999999983,0.0,0.4615384615384615,0.0,0.5454545454545454,0.0,0.49999999999999983,0.0,0.4615384615384615,0.0,0.5454545454545454,0.0,0.49999999999999983,0.0
en_core_sci_lg,rephrased_true_answers,1,3,0.4210758377425044,0.04740422836720709,0.4166666666666667,0.05455447255899808,0.41883116883116883,0.05102673261526529,0.45723104056437386,0.04669768052848437,0.4523809523809524,0.054554472558998104,0.45476190476190476,0.05067570631855422,0.49338624338624343,0.04599295939342249,0.4880952380952381,0.05455447255899808,0.4906926406926407,0.050325024436716714
en_core_sci_lg,rephrased_true_answers,1,4,0.3311204286047053,0.017953939188636178,0.43089430894308944,0.028163427765347627,0.374468085106383,0.022111286905134635,0.3311204286047053,0.017953939188636178,0.43089430894308944,0.028163427765347627,0.374468085106383,0.022111286905134635,0.3311204286047053,0.017953939188636178,0.44166666666666665,0.02886751345948129,0.37847937161595363,0.022322625370177714
en_core_sci_lg,rephrased_true_answers,1,5,0.3333333333333333,0.0,0.42857142857142855,0.0,0.375,0.0,0.3333333333333333,0.0,0.42857142857142855,0.0,0.375,0.0,0.3333333333333333,0.0,0.5,0.0,0.4000000000000001,0.0
en_core_sci_lg,rephrased_true_answers,1,6,0.1875,0.0,0.3333333333333333,0.0,0.24000000000000007,0.0,0.1875,0.0,0.3333333333333333,0.0,0.24000000000000007,0.0,0.1875,0.0,0.3333333333333333,0.0,0.24000000000000007,0.0
en_core_sci_lg,rephrased_true_answers,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en_core_sci_lg,rephrased_true_answers,1,8,0.6547619047619048,0.0515491311776452,0.7142857142857143,0.0,0.6825396825396824,0.027492869961410787,0.6547619047619048,0.0515491311776452,0.7142857142857143,0.0,0.6825396825396824,0.027492869961410787,0.6547619047619048,0.0515491311776452,0.7142857142857143,0.0,0.6825396825396824,0.027492869961410787
en_core_sci_lg,rephrased_true_answers,1,9,0.40721997300944673,0.011275826563473947,0.5287356321839081,0.019908629972056068,0.45996263028747664,0.011494819977660418,0.40721997300944673,0.011275826563473947,0.5287356321839081,0.019908629972056068,0.45996263028747664,0.011494819977660418,0.49122807017543857,0.015193428136569105,0.632183908045977,0.019908629972056068,0.5527745885954841,0.01495419513928334
en_core_sci_lg,rephrased_true_answers,2,0,0.7857142857142857,0.0,0.7333333333333333,0.0,0.7586206896551723,0.0,0.7857142857142857,0.0,0.7333333333333333,0.0,0.7586206896551723,0.0,0.7857142857142857,0.0,0.7333333333333333,0.0,0.7586206896551723,0.0
