model,category_id,question_index,num_iterations,Q1_mean,Q2_mean,Q3_mean,Q4_mean,Q5_mean,overall_score_mean,overall_score_wo_Q4&5_mean,Q1_std,Q2_std,Q3_std,Q4_std,Q5_std,overall_score_std,overall_score_wo_Q4&5_std,nlp_model,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
Llama,1,0,3,3.333333333333333,3.333333333333333,3.333333333333333,5.0,5.0,4.0,3.333333333333333,1.5275252316519463,0.5773502691896257,0.5773502691896257,0.0,0.0,0.5364451540062396,0.8940752566770661,en_core_sci_lg,0.26523764779578735,0.026778949047057184,0.2916666666666667,0.02886751345948128,0.2778025266331432,0.02764785676898403
Llama,1,1,3,2.333333333333333,2.6666666666666665,2.6666666666666665,5.0,5.0,3.533333333333333,2.555555555555556,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.0,0.0,0.3464101615137754,0.5773502691896257,en_core_sci_lg,0.5238095238095238,0.1649572197684645,0.6111111111111112,0.19245008972987526,0.564102564102564,0.177646236673731
Llama,1,2,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.40740740740740744,0.03207501495497917,0.48888888888888893,0.038490017945975036,0.4444444444444444,0.03499092540543183
Llama,1,3,3,1.6666666666666667,2.6666666666666665,2.6666666666666665,3.333333333333333,3.333333333333333,2.733333333333333,2.333333333333333,1.5275252316519463,1.5275252316519463,1.5275252316519463,2.8867513459481287,2.8867513459481287,2.07121567737042,1.5275252316519463,en_core_sci_lg,0.5185185185185185,0.0,0.4827586206896552,0.0,0.5,0.0
Llama,1,4,3,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.251915380217267,0.02693641050078528,0.3253968253968254,0.027492869961410742,0.2839573159703382,0.027567457237486194
Llama,1,5,3,2.0,3.0,3.0,5.0,5.0,3.6,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.3333333333333333,0.0,0.42857142857142855,0.0,0.375,0.0
Llama,1,6,3,5.0,4.666666666666667,4.666666666666667,5.0,5.0,4.866666666666666,4.777777777777778,0.0,0.5773502691896258,0.5773502691896258,0.0,0.0,0.2309401076758503,0.3849001794597506,en_core_sci_lg,0.1724137931034483,0.0,0.3125,0.0,0.22222222222222224,0.0
Llama,1,7,3,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.4666666666666668,1.3333333333333333,1.1547005383792517,1.1547005383792517,1.1547005383792517,2.886751345948129,2.886751345948129,1.8475208614068024,1.1547005383792517,en_core_sci_lg,0.3962962962962963,0.08339503888294592,0.611111111111111,0.09622504486493764,0.48055555555555557,0.09141379262169079
Llama,1,8,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en_core_sci_lg,0.5787037037037037,0.040093768693724,0.7142857142857143,0.0,0.638888888888889,0.02405626121623432
Llama,1,9,3,5.0,5.0,4.666666666666667,5.0,5.0,4.933333333333334,4.888888888888889,0.0,0.0,0.5773502691896257,0.0,0.0,0.1154700538379251,0.1924500897298752,en_core_sci_lg,0.5384615384615384,0.0,0.6999999999999998,0.0,0.608695652173913,0.0
Llama,2,0,3,2.6666666666666665,3.6666666666666665,3.6666666666666665,5.0,5.0,4.0,3.333333333333333,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.0,0.0,0.3464101615137755,0.5773502691896258,en_core_sci_lg,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0
Llama,2,1,3,3.333333333333333,3.333333333333333,3.333333333333333,5.0,5.0,4.0,3.333333333333333,1.5275252316519468,1.5275252316519468,1.5275252316519468,0.0,0.0,0.916515138991168,1.527525231651947,en_core_sci_lg,0.7111111111111111,0.0769800358919502,0.6666666666666666,0.0,0.6868686868686869,0.03499092540543184
Llama,2,2,3,2.333333333333333,3.0,3.0,5.0,5.0,3.6666666666666665,2.777777777777777,0.5773502691896257,0.0,0.0,0.0,0.0,0.1154700538379251,0.1924500897298752,en_core_sci_lg,0.41071428571428575,0.030929478706587087,0.5,0.0,0.4505494505494505,0.01903352535789975
Llama,2,3,3,3.0,3.0,3.0,5.0,5.0,3.8,3.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.0,0.0,1.0392304845413265,1.7320508075688774,en_core_sci_lg,0.42857142857142855,0.0,0.5,0.0,0.4615384615384615,0.0
Llama,2,4,3,3.6666666666666665,3.333333333333333,3.333333333333333,4.666666666666667,5.0,4.0,3.444444444444444,1.1547005383792517,0.5773502691896258,0.5773502691896258,0.5773502691896257,0.0,0.5773502691896257,0.7698003589195009,en_core_sci_lg,0.0,0.0,0.0,0.0,0.0,0.0
Llama,2,5,3,3.0,3.0,3.0,5.0,5.0,3.8,3.0,2.0,2.0,2.0,0.0,0.0,1.2,2.0,en_core_sci_lg,0.0,0.0,0.0,0.0,0.0,0.0
Llama,2,6,3,3.0,3.333333333333333,3.333333333333333,5.0,5.0,3.9333333333333336,3.222222222222222,1.7320508075688772,1.5275252316519468,1.5275252316519468,0.0,0.0,0.9574202541745542,1.5957004236242571,en_core_sci_lg,0.0,0.0,0.0,0.0,0.0,0.0
Llama,2,7,3,1.6666666666666667,1.6666666666666667,1.6666666666666667,3.333333333333333,3.333333333333333,2.333333333333333,1.6666666666666667,0.5773502691896257,0.5773502691896257,0.5773502691896257,2.886751345948129,2.886751345948129,1.501110699893027,0.5773502691896257,en_core_sci_lg,0.0,0.0,0.0,0.0,0.0,0.0
Llama,2,8,3,3.0,4.0,3.6666666666666665,5.0,5.0,4.133333333333334,3.555555555555556,0.0,0.0,0.5773502691896258,0.0,0.0,0.1154700538379251,0.1924500897298753,en_core_sci_lg,0.3333333333333333,0.0,0.5,0.0,0.4000000000000001,0.0
